ID ,AMOUNT, TRAN_DATE  ,POST_DATE ,DESCRIPTION                                               ,CATEGORY_TEXT       
284,20,2013-10-15,2013-10-17,IHOP 110 YUMA AZ 000292                                   ,Cafes         
285,4.63,2013-10-16,2013-10-17,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
286,12.42,2013-10-16,2013-10-17,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
287,2.73,2013-10-17,2013-10-17,AAMARK YUMA AZ                                            ,Cafes         
288,3.76,2013-10-17,2013-10-17,AAMARK YUMA AZ                                            ,Cafes         
289,7.41,2013-10-18,2013-10-18,MCDONALDS F11664 YUMA AZ                                  ,Cafes         
290,2.09,2013-10-18,2013-10-18,MCDONALDS F152 AZ                                         ,Cafes         
291,2.73,2013-10-19,2013-10-19,AAMARK YUMA AZ                                            ,Cafes         
292,3.76,2013-10-19,2013-10-19,AAMARK YUMA AZ                                            ,Cafes         
293,2.17,2013-10-19,2013-10-19,MCDONALDS F152 AZ                                         ,Cafes         
294,2.17,2013-10-21,2013-10-21,MCDONALDS F152 AZ                                         ,Cafes         
295,12.85,2013-10-21,2013-10-21,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
296,2.97,2013-10-23,2013-10-23,BURGER KING #110 YUMA AZ                                  ,Cafes         
297,49.99,2013-10-23,2013-10-23,COX*TUCSON COMM SERV 602-277-1000 AZ 42647980             ,Services            
298,19.21,2013-10-25,2013-10-25,KHAI HOAN RESTAURANT YUMA AZ                              ,Cafes         
299,2.17,2013-10-25,2013-10-25,MCDONALDS F152 AZ                                         ,Cafes         
300,15,2013-10-26,2013-10-26,KHAI RESTAURANT YUMA AZ                                   ,Cafes         
301,6.83,2013-10-27,2013-10-27,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
302,6.92,2013-10-27,2013-10-27,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
303,3.19,2013-10-29,2013-10-29,SEAWORLD-FOOD SVC ORLANDO FL                              ,Entertainment/Travel
304,47.91,2013-10-30,2013-10-30,TASTY WOK OF ORLANDO ORLANDO FL                           ,Cafes         
305,7.67,2013-10-30,2013-10-30,USF STARBUC028852 ORLANDO FL                              ,Cafes         
306,17.37,2013-10-31,2013-10-31,RUBY TUESDAY ORLANDO FL                                   ,Cafes         
307,2.94,2013-11-01,2013-11-01,MCDONALDS F152 AZ                                         ,Cafes         
308,132.79,2013-11-01,2013-11-01,TOY MESA AZ                                               ,Automotive          
309,10,2013-11-01,2013-11-01,TAIWAN FOOD EXPRESS MESA AZ                               ,Cafes         
310,9.24,2013-11-02,2013-11-02,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
311,3.71,2013-11-03,2013-11-03,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
312,6.7,2013-11-03,2013-11-03,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
313,2.94,2013-11-04,2013-11-04,MCDONALDS F152 AZ                                         ,Cafes         
314,9.24,2013-11-04,2013-11-04,SUPER  MARKET TUCSON AZ                                   ,Supermarkets        
315,2.73,2013-11-06,2013-11-06,AAMARK YUMA AZ                                            ,Cafes         
316,5.46,2013-11-06,2013-11-06,AAMARK YUMA AZ                                            ,Cafes         
317,34.45,2013-11-07,2013-11-07,PARIS PALACE TUCSON AZ                                    ,Cafes         
318,2.17,2013-11-08,2013-11-08,MCDONALDS F152 AZ                                         ,Cafes         
319,2.64,2013-11-09,2013-11-09,AAMARK YUMA AZ                                            ,Cafes         
320,2.17,2013-11-09,2013-11-09,MCDONALDS F152 AZ                                         ,Cafes         
321,440,2013-11-10,2013-11-10,DDS PLLC YUMA AZ                                          ,MedServices      
